sample_id,filename,channel,min,max,mean,original_length
ksas_m0_p11_i,0-11-i.csv,game_rot_vec_y,-0.138,0.0,-0.09814285714285713,28
ksas_m0_p11_i,0-11-i.csv,game_rot_vec_z,0.0,0.715,0.6699285714285714,28
ksas_m0_p11_i,0-11-i.csv,magn_field_x,4.272,9.785,6.923142857142857,28
ksas_m0_p11_i,0-11-i.csv,magn_field_y,28.169,33.513,31.26182142857142,28
ksas_m0_p11_i,0-11-i.csv,magn_field_z,-23.912,-18.483,-21.87785714285715,28
ksas_m0_p12_d,0-12-d.csv,accelerometer_x,-1.576,-0.242,-1.3003589743589743,39
ksas_m0_p12_d,0-12-d.csv,accelerometer_y,-2.124,-1.827,-1.9569743589743593,39
ksas_m0_p12_d,0-12-d.csv,accelerometer_z,9.038,11.354,9.53533333333333,39
ksas_m0_p12_d,0-12-d.csv,gravity_x,-1.419,-1.135,-1.3240000000000003,39
ksas_m0_p12_d,0-12-d.csv,gravity_y,-2.017,-1.911,-1.9684871794871794,39
ksas_m0_p12_d,0-12-d.csv,gravity_z,9.507,9.537,9.515179487179486,39
ksas_m0_p12_d,0-12-d.csv,gyros_x,-0.028,0.115,0.013179487179487182,39
ksas_m0_p12_d,0-12-d.csv,gyros_y,-0.041,0.043,0.015025641025641027,39
ksas_m0_p12_d,0-12-d.csv,gyros_z,-0.061,0.049,0.011128205128205133,39
ksas_m0_p12_d,0-12-d.csv,lin_accel_x,-0.353,0.236,-0.026871794871794873,39
ksas_m0_p12_d,0-12-d.csv,lin_accel_y,-0.06,0.206,0.023769230769230768,39
ksas_m0_p12_d,0-12-d.csv,lin_accel_z,-0.613,0.126,-0.044589743589743575,39
ksas_m0_p12_d,0-12-d.csv,game_rot_vec_x,-0.121,0.0,-0.11653846153846163,39
ksas_m0_p12_d,0-12-d.csv,game_rot_vec_y,-0.029,0.0,-0.023589743589743604,39
ksas_m0_p12_d,0-12-d.csv,game_rot_vec_z,0.0,0.709,0.689384615384615,39
ksas_m0_p12_d,0-12-d.csv,magn_field_x,24.675,28.749,26.969717948717946,39
ksas_m0_p12_d,0-12-d.csv,magn_field_y,-12.448,-9.067,-10.585307692307694,39
ksas_m0_p12_d,0-12-d.csv,magn_field_z,-29.428,-24.467,-27.17389743589744,39
ksas_m0_p12_i,0-12-i.csv,accelerometer_x,-2.763,-2.332,-2.4809444444444444,18
ksas_m0_p12_i,0-12-i.csv,accelerometer_y,-2.799,-2.226,-2.3707777777777777,18
ksas_m0_p12_i,0-12-i.csv,accelerometer_z,8.725,9.754,9.161999999999999,18
ksas_m0_p12_i,0-12-i.csv,gravity_x,-2.52,-2.427,-2.483277777777778,18
ksas_m0_p12_i,0-12-i.csv,gravity_y,-2.346,-2.311,-2.3265000000000002,18
ksas_m0_p12_i,0-12-i.csv,gravity_z,9.19,9.209,9.197333333333335,18
ksas_m0_p12_i,0-12-i.csv,gyros_x,-0.016,0.037,0.015944444444444445,18
ksas_m0_p12_i,0-12-i.csv,gyros_y,-0.045,0.038,0.00311111111111111,18
ksas_m0_p12_i,0-12-i.csv,gyros_z,0.004,0.061,0.021777777777777774,18
ksas_m0_p12_i,0-12-i.csv,lin_accel_x,-0.051,0.122,-0.006111111111111111,18
ksas_m0_p12_i,0-12-i.csv,lin_accel_y,-0.107,0.143,-0.012888888888888887,18
ksas_m0_p12_i,0-12-i.csv,lin_accel_z,-0.596,0.151,-0.09811111111111111,18
ksas_m0_p12_i,0-12-i.csv,game_rot_vec_x,-0.12,0.0,-0.11205555555555555,18
ksas_m0_p12_i,0-12-i.csv,game_rot_vec_y,0.0,0.132,0.12327777777777779,18
ksas_m0_p12_i,0-12-i.csv,game_rot_vec_z,-0.015,0.0,-0.013055555555555562,18
ksas_m0_p12_i,0-12-i.csv,magn_field_x,30.946,33.621,32.17355555555556,18
ksas_m0_p12_i,0-12-i.csv,magn_field_y,-6.815,-3.77,-4.708833333333333,18
ksas_m0_p12_i,0-12-i.csv,magn_field_z,-23.465,-20.842,-22.26172222222222,18
ksas_m0_p13_d,0-13-d.csv,accelerometer_x,0.402,1.451,1.0032894736842104,38
ksas_m0_p13_d,0-13-d.csv,accelerometer_y,-5.578,-5.157,-5.356105263157895,38
ksas_m0_p13_d,0-13-d.csv,accelerometer_z,7.671,8.258,8.135263157894736,38
ksas_m0_p13_d,0-13-d.csv,gravity_x,0.83,1.008,0.9742105263157892,38
ksas_m0_p13_d,0-13-d.csv,gravity_y,-5.379,-5.265,-5.3311315789473674,38
ksas_m0_p13_d,0-13-d.csv,gravity_z,8.147,8.213,8.172894736842107,38
ksas_m0_p13_d,0-13-d.csv,gyros_x,-0.014,0.034,0.0211842105263158,38
ksas_m0_p13_d,0-13-d.csv,gyros_y,-0.119,0.028,-0.008105263157894735,38
ksas_m0_p13_d,0-13-d.csv,gyros_z,-0.03,0.078,0.00960526315789474,38
ksas_m0_p13_d,0-13-d.csv,lin_accel_x,-0.033,0.191,0.03492105263157894,38
ksas_m0_p13_d,0-13-d.csv,lin_accel_y,-0.159,0.079,-0.025763157894736845,38
ksas_m0_p13_d,0-13-d.csv,lin_accel_z,-0.074,0.125,0.0074473684210526305,38
ksas_m0_p13_d,0-13-d.csv,game_rot_vec_x,-0.174,0.0,-0.16178947368421048,38
ksas_m0_p13_d,0-13-d.csv,game_rot_vec_y,-0.238,0.0,-0.2297368421052632,38
