method,fold,group_level,group_value,baseline_macro_f1,metric_macro_f1,macro_f1_drop,baseline_balanced_accuracy,metric_balanced_accuracy,balanced_accuracy_drop,positive_macro_f1_drop,normalized_positive_drop
ablation,3,channel,magn_field_y,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,magn_field_z,0.8454592363261094,0.8705379587732528,-0.025078722447143376,0.8541666666666666,0.875,-0.02083333333333337,0.0,0.0
ablation,4,sensor_family,accelerometer,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,sensor_family,game_rot_vec,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,sensor_family,gravity,0.8970969089390142,0.9374183006535949,-0.04032139171458071,0.8958333333333334,0.9375,-0.04166666666666663,0.0,0.0
ablation,4,sensor_family,gyros,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,sensor_family,lin_accel,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,sensor_family,magn_field,0.8970969089390142,0.8969771241830066,0.00011978475600760152,0.8958333333333334,0.8958333333333334,0.0,0.00011978475600760152,1.0
ablation,4,channel,accelerometer_x,0.8970969089390142,0.9175925925925926,-0.020495683653578456,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,accelerometer_y,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,accelerometer_z,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,channel,game_rot_vec_x,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,channel,game_rot_vec_y,0.8970969089390142,0.9175925925925926,-0.020495683653578456,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,game_rot_vec_z,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,channel,gravity_x,0.8970969089390142,0.8758986928104574,0.02119821612855677,0.8958333333333334,0.875,0.02083333333333337,0.02119821612855677,0.5100254207228181
ablation,4,channel,gravity_y,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,gravity_z,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,gyros_x,0.8970969089390142,0.9175925925925926,-0.020495683653578456,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,gyros_y,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,gyros_z,0.8970969089390142,0.9175925925925926,-0.020495683653578456,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,lin_accel_x,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,channel,lin_accel_y,0.8970969089390142,0.8768518518518519,0.020245057087162288,0.8958333333333334,0.875,0.02083333333333337,0.020245057087162288,0.4870925787254158
ablation,4,channel,lin_accel_z,0.8970969089390142,0.8970969089390142,0.0,0.8958333333333334,0.8958333333333334,0.0,0.0,0.0
ablation,4,channel,magn_field_x,0.8970969089390142,0.9165849673202615,-0.019488058381247342,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,magn_field_y,0.8970969089390142,0.9175925925925926,-0.020495683653578456,0.8958333333333334,0.9166666666666666,-0.02083333333333326,0.0,0.0
ablation,4,channel,magn_field_z,0.8970969089390142,0.8969771241830066,0.00011978475600760152,0.8958333333333334,0.8958333333333334,0.0,0.00011978475600760152,0.0028820005517660734
