method,fold,group_level,group_value,baseline_macro_f1,metric_macro_f1,macro_f1_drop,baseline_balanced_accuracy,metric_balanced_accuracy,balanced_accuracy_drop,repeat,positive_macro_f1_drop,normalized_positive_drop
permutation,0,channel,gravity_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
permutation,0,channel,gravity_y,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,channel,gravity_y,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,2,0.04341736694677867,0.0342087839329067
permutation,0,channel,gravity_y,1.0,1.0,0.0,1.0,1.0,0.0,3,0.0,0.0
permutation,0,channel,gravity_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.01647907010961523
permutation,0,channel,gravity_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
permutation,0,channel,gravity_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.01647907010961523
permutation,0,channel,gravity_z,1.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0.0
permutation,0,channel,gravity_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,gravity_z,1.0,1.0,0.0,1.0,1.0,0.0,4,0.0,0.0
permutation,0,channel,gyros_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
permutation,0,channel,gyros_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.01647907010961523
permutation,0,channel,gyros_x,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,2,0.04341736694677867,0.0342087839329067
permutation,0,channel,gyros_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,gyros_x,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,4,0.04341736694677867,0.0342087839329067
permutation,0,channel,gyros_y,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0
permutation,0,channel,gyros_y,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,channel,gyros_y,1.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0.0
permutation,0,channel,gyros_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,gyros_y,1.0,1.0,0.0,1.0,1.0,0.0,4,0.0,0.0
permutation,0,channel,gyros_z,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0
permutation,0,channel,gyros_z,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,channel,gyros_z,1.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0.0
permutation,0,channel,gyros_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,gyros_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_x,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0
permutation,0,channel,lin_accel_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_x,1.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0.0
permutation,0,channel,lin_accel_x,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,3,0.04341736694677867,0.0342087839329067
permutation,0,channel,lin_accel_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_y,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,channel,lin_accel_y,1.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0.0
permutation,0,channel,lin_accel_y,1.0,1.0,0.0,1.0,1.0,0.0,3,0.0,0.0
permutation,0,channel,lin_accel_y,1.0,1.0,0.0,1.0,1.0,0.0,4,0.0,0.0
permutation,0,channel,lin_accel_z,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0
permutation,0,channel,lin_accel_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,2,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,lin_accel_z,1.0,1.0,0.0,1.0,1.0,0.0,4,0.0,0.0
permutation,0,channel,magn_field_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_x,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,channel,magn_field_x,1.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0.0
permutation,0,channel,magn_field_x,1.0,1.0,0.0,1.0,1.0,0.0,3,0.0,0.0
permutation,0,channel,magn_field_x,1.0,1.0,0.0,1.0,1.0,0.0,4,0.0,0.0
permutation,0,channel,magn_field_y,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0
permutation,0,channel,magn_field_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,2,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_y,1.0,1.0,0.0,1.0,1.0,0.0,3,0.0,0.0
permutation,0,channel,magn_field_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_z,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,channel,magn_field_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,2,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_z,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,magn_field_z,1.0,1.0,0.0,1.0,1.0,0.0,4,0.0,0.0
permutation,1,sensor_family,accelerometer,0.8749183006535949,0.875,-8.169934640511745e-05,0.875,0.875,0.0,0,0.0,0.0
permutation,1,sensor_family,accelerometer,0.8749183006535949,0.898202614379085,-0.023284313725490113,0.875,0.8958333333333334,-0.02083333333333337,1,0.0,0.0
permutation,1,sensor_family,accelerometer,0.8749183006535949,0.8212885154061625,0.05362978524743234,0.875,0.8125,0.0625,2,0.05362978524743234,0.07401580722063511
permutation,1,sensor_family,accelerometer,0.8749183006535949,0.856454248366013,0.018464052287581856,0.875,0.8541666666666666,0.02083333333333337,3,0.018464052287581856,0.025482700113829308
permutation,1,sensor_family,accelerometer,0.8749183006535949,0.8601307189542484,0.014787581699346464,0.875,0.8541666666666666,0.02083333333333337,4,0.014787581699346464,0.02040871115311099
permutation,1,sensor_family,game_rot_vec,0.8749183006535949,0.8357026143790849,0.03921568627451,0.875,0.8333333333333334,0.04166666666666663,0,0.03921568627451,0.05412254891432754
permutation,1,sensor_family,game_rot_vec,0.8749183006535949,0.8540849673202615,0.02083333333333337,0.875,0.8541666666666666,0.02083333333333337,1,0.02083333333333337,0.028752604110736414
permutation,1,sensor_family,game_rot_vec,0.8749183006535949,0.8148692810457517,0.060049019607843146,0.875,0.8125,0.0625,2,0.060049019607843146,0.08287515302506365
permutation,1,sensor_family,game_rot_vec,0.8749183006535949,0.8356209150326798,0.039297385620915115,0.875,0.8333333333333334,0.04166666666666663,3,0.039297385620915115,0.054235304224565566
permutation,1,sensor_family,game_rot_vec,0.8749183006535949,0.8565359477124183,0.018382352941176627,0.875,0.8541666666666666,0.02083333333333337,4,0.018382352941176627,0.025369944803591126
