fold,group_level,group_value,importance
3,channel,magn_field_z,0.04877750572191573
4,channel,accelerometer_x,0.04795400018294506
4,channel,accelerometer_y,0.05822411787094386
4,channel,accelerometer_z,0.06512851859266217
4,channel,gravity_x,0.0649234395914181
4,channel,gravity_y,0.07088430304919244
4,channel,gravity_z,0.07295806267586498
4,channel,gyros_x,0.06702001313673875
4,channel,gyros_y,0.06143335289110479
4,channel,gyros_z,0.05132026296383848
4,channel,lin_accel_x,0.045984055429915266
4,channel,lin_accel_y,0.04254146197623925
4,channel,lin_accel_z,0.044235628785796385
4,channel,game_rot_vec_x,0.0461681779127732
4,channel,game_rot_vec_y,0.056193311761920745
4,channel,game_rot_vec_z,0.05944522196271441
4,channel,magn_field_x,0.05611264345675926
4,channel,magn_field_y,0.04308715319671562
4,channel,magn_field_z,0.04638627456245726
0,family_axis,accelerometer_x,0.05340327764211528
0,family_axis,accelerometer_y,0.0546036467816055
0,family_axis,accelerometer_z,0.06361331917016991
0,family_axis,gravity_x,0.06221141293372566
0,family_axis,gravity_y,0.055896695416580884
0,family_axis,gravity_z,0.06467419129312277
0,family_axis,gyros_x,0.0636870212301663
0,family_axis,gyros_y,0.06365307673778091
0,family_axis,gyros_z,0.05346560846448357
0,family_axis,lin_accel_x,0.03935338844768355
0,family_axis,lin_accel_y,0.05234926662147044
0,family_axis,lin_accel_z,0.05125165022294691
0,family_axis,game_rot_vec_x,0.0494495584588742
0,family_axis,game_rot_vec_y,0.05274235429511672
0,family_axis,game_rot_vec_z,0.062134268295399316
0,family_axis,magn_field_x,0.05423612934686024
0,family_axis,magn_field_y,0.046349799820632386
0,family_axis,magn_field_z,0.056925334821265425
1,family_axis,accelerometer_x,0.05325921159185072
1,family_axis,accelerometer_y,0.05038892135302804
1,family_axis,accelerometer_z,0.06147870091780776
1,family_axis,gravity_x,0.0671617709326423
1,family_axis,gravity_y,0.05966591660991134
1,family_axis,gravity_z,0.06911839025618977
1,family_axis,gyros_x,0.05575853444083477
1,family_axis,gyros_y,0.05615296055908691
1,family_axis,gyros_z,0.05739005165624123
1,family_axis,lin_accel_x,0.039966867805949095
1,family_axis,lin_accel_y,0.04716061405753927
1,family_axis,lin_accel_z,0.056480550079825734
1,family_axis,game_rot_vec_x,0.05045959953846358
1,family_axis,game_rot_vec_y,0.05742371420747978
1,family_axis,game_rot_vec_z,0.06056584975390444
1,family_axis,magn_field_x,0.05609985942944049
1,family_axis,magn_field_y,0.04579071149559636
1,family_axis,magn_field_z,0.05567777531420842
2,family_axis,accelerometer_x,0.05019667711548277
2,family_axis,accelerometer_y,0.05386964980320146
