fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
3,test,53,ksas_m1_p15_i,47,0.1607142857142857,2,17,False,0.044337544590234756,0.1299392580986023
3,test,58,ksas_m1_p18_d,51,0.0892857142857143,2,17,False,0.028206191956996918,0.06827731430530548
3,test,59,ksas_m1_p18_i,42,0.25,2,17,False,0.062055155634880066,0.2023809552192688
3,test,60,ksas_m1_p19_d,44,0.2142857142857143,2,17,False,0.06212744116783142,0.1753246784210205
3,test,61,ksas_m1_p19_i,39,0.3035714285714286,2,17,False,0.08426333218812943,0.22573262453079224
3,test,70,ksas_m1_p05_d,30,0.4642857142857143,2,17,False,0.15941908955574036,0.37142857909202576
3,test,71,ksas_m1_p05_i,30,0.4642857142857143,2,17,False,0.16308657824993134,0.35357144474983215
3,test,92,ksas_m2_p15_d,40,0.2857142857142857,2,17,False,0.0838199183344841,0.2428571581840515
3,test,93,ksas_m2_p15_i,29,0.4821428571428571,2,17,False,0.16949747502803802,0.41564038395881653
3,test,98,ksas_m2_p18_d,30,0.4642857142857143,2,17,False,0.17046013474464417,0.4178571105003357
3,test,99,ksas_m2_p18_i,26,0.5357142857142857,2,17,False,0.20184221863746643,0.4532967209815979
3,test,100,ksas_m2_p19_d,51,0.0892857142857143,2,17,False,0.031150424852967262,0.07352942228317261
3,test,101,ksas_m2_p19_i,30,0.4642857142857143,2,17,False,0.16301965713500977,0.4333333373069763
3,test,110,ksas_m2_p05_d,42,0.25,2,17,False,0.07211750745773315,0.2261905074119568
3,test,111,ksas_m2_p05_i,35,0.375,2,17,False,0.12034912407398224,0.2785714566707611
3,test,132,ksas_m3_p15_d,36,0.3571428571428571,2,17,False,0.11650711297988892,0.3273809552192688
3,test,133,ksas_m3_p15_i,30,0.4642857142857143,2,17,False,0.16758550703525543,0.44880950450897217
3,test,138,ksas_m3_p18_d,33,0.4107142857142857,2,17,False,0.13655905425548553,0.3484848737716675
3,test,139,ksas_m3_p18_i,37,0.3392857142857143,2,17,False,0.10128144174814224,0.26592665910720825
3,test,140,ksas_m3_p19_d,48,0.1428571428571429,2,17,False,0.048323728144168854,0.13095241785049438
3,test,141,ksas_m3_p19_i,38,0.3214285714285714,2,17,False,0.09607724845409393,0.29605263471603394
3,test,150,ksas_m3_p05_d,28,0.5,2,17,False,0.1796579658985138,0.4285714328289032
3,test,151,ksas_m3_p05_i,26,0.5357142857142857,2,17,False,0.1994883418083191,0.49450549483299255
3,test,172,ksas_m4_p15_d,36,0.3571428571428571,2,17,False,0.10932250320911407,0.2876984477043152
3,test,173,ksas_m4_p15_i,37,0.3392857142857143,2,17,False,0.09815938770771027,0.26592665910720825
3,test,178,ksas_m4_p18_d,36,0.3571428571428571,2,17,False,0.10657595843076706,0.2678571343421936
3,test,179,ksas_m4_p18_i,41,0.2678571428571429,2,17,False,0.06490988284349442,0.18292683362960815
3,test,180,ksas_m4_p19_d,51,0.0892857142857143,2,17,False,0.030222970992326736,0.06827729940414429
3,test,181,ksas_m4_p19_i,42,0.25,2,17,False,0.06878701597452164,0.2023809552192688
3,test,190,ksas_m4_p05_d,39,0.3035714285714286,2,17,False,0.0885295644402504,0.24130040407180786
3,test,191,ksas_m4_p05_i,36,0.3571428571428571,2,17,False,0.10692503303289413,0.2579365074634552
3,test,212,ksas_m5_p15_d,30,0.4642857142857143,2,17,False,0.16450382769107819,0.34047621488571167
3,test,213,ksas_m5_p15_i,34,0.3928571428571429,2,17,False,0.12846598029136658,0.3224789500236511
3,test,218,ksas_m5_p18_d,41,0.2678571428571429,2,17,False,0.07417288422584534,0.20252615213394165
3,test,219,ksas_m5_p18_i,34,0.3928571428571429,2,17,False,0.12350636720657349,0.3350840210914612
3,test,220,ksas_m5_p19_d,49,0.125,2,17,False,0.03732217103242874,0.10459184646606445
3,test,221,ksas_m5_p19_i,49,0.125,2,17,False,0.0416649766266346,0.10969388484954834
3,test,230,ksas_m5_p05_d,32,0.4285714285714286,2,17,False,0.14464345574378967,0.3482142984867096
3,test,231,ksas_m5_p05_i,27,0.5178571428571428,2,17,False,0.18649788200855255,0.4411375820636749
3,train,0,ksas_m0_p01_d,27,0.5178571428571428,3,25,False,0.15797168016433716,0.47949734330177307
3,train,1,ksas_m0_p01_i,31,0.4464285714285714,3,25,False,0.1253451555967331,0.3888248801231384
3,train,2,ksas_m0_p10_d,33,0.4107142857142857,3,25,False,0.11165832728147507,0.3484848737716675
3,train,3,ksas_m0_p10_i,43,0.2321428571428571,3,25,False,0.07342258840799332,0.2142857164144516
3,train,4,ksas_m0_p11_d,52,0.0714285714285714,3,25,False,0.03354210406541824,0.0714285746216774
3,train,5,ksas_m0_p11_i,28,0.5,3,25,False,0.15845853090286255,0.4821428656578064
3,train,6,ksas_m0_p12_d,39,0.3035714285714286,3,25,False,0.08192124962806702,0.21794873476028442
